,stock_code,free_shares_SBL,day_start,difference,free_shares_SBL_SMA
1605,1605,8270628.0,8290628.0,0.9987119566328678,8281294.666666667
0050,0050,103636.0,103636.0,1.0,103636.0
1307,1307,14708.0,14708.0,1.0,14708.0
1304,1304,983.0,983.0,1.0,983.0
1303,1303,157122.0,162122.0,1.0,157122.0
1301,1301,288.0,288.0,1.0,288.0
1268,1268,11192.0,11192.0,1.0,11192.0
1264,1264,1003.0,1003.0,1.0,1003.0
1259,1259,805.0,805.0,1.0,805.0
1258,1258,31762.0,31762.0,1.0,31762.0
1309,1309,35086.0,36086.0,1.0,35086.0
1256,1256,1390.0,1390.0,1.0,1390.0
1236,1236,11223.0,11223.0,1.0,11223.0
1235,1235,1570.0,1570.0,1.0,1570.0
1234,1234,16367.0,16367.0,1.0,16367.0
1233,1233,752.0,752.0,1.0,752.0
1232,1232,546.0,546.0,1.0,546.0
1231,1231,12521.0,12521.0,1.0,12521.0
1229,1229,572.0,572.0,1.0,572.0
1227,1227,714.0,714.0,1.0,714.0
1225,1225,147.0,147.0,1.0,147.0
1240,1240,3159.0,3159.0,1.0,3159.0
1312,1312,225.0,225.0,1.0,225.0
1314,1314,527.0,527.0,1.0,527.0
1315,1315,6067.0,6067.0,1.0,6067.0
1417,1417,151739.0,151739.0,1.0,151739.0
1416,1416,10504.0,10504.0,1.0,10504.0
1414,1414,15477.0,15477.0,1.0,15477.0
1410,1410,83932.0,83932.0,1.0,83932.0
1409,1409,204.0,204.0,1.0,204.0
1402,1402,481243.0,507243.0,1.0,481243.0
1342,1342,178218.0,178218.0,1.0,178218.0
1341,1341,918.0,918.0,1.0,918.0
1340,1340,12182.0,12182.0,1.0,12182.0
1220,1220,1516.0,1516.0,1.0,1516.0
1339,1339,14144.0,14144.0,1.0,14144.0
1337,1337,99489.0,99489.0,1.0,99489.0
1336,1336,81846.0,81846.0,1.0,81846.0
1326,1326,575.0,575.0,1.0,575.0
1325,1325,25174.0,25174.0,1.0,25174.0
1324,1324,531.0,531.0,1.0,531.0
1323,1323,1361.0,1361.0,1.0,1361.0
1321,1321,299.0,299.0,1.0,299.0
1319,1319,594875.0,594875.0,1.0,594875.0
1316,1316,121861.0,121861.0,1.0,121861.0
1338,1338,11034.0,11034.0,1.0,11034.0
1219,1219,61946.0,61946.0,1.0,61946.0
1218,1218,256496.0,256496.0,1.0,256496.0
1216,1216,445585.0,447585.0,1.0,445585.0
00902,00902,557624.0,557624.0,1.0,557624.0
00901,00901,81053.0,81053.0,1.0,81053.0
00900,00900,213.0,213.0,1.0,213.0
00899,00899,192.0,192.0,1.0,192.0
00898,00898,97988.0,97988.0,1.0,97988.0
00897,00897,162328.0,162328.0,1.0,162328.0
00896,00896,149485.0,149485.0,1.0,149485.0
00895,00895,164598.0,164598.0,1.0,164598.0
00894,00894,148377.0,148377.0,1.0,148377.0
00903,00903,422602.0,422602.0,1.0,422602.0
00893,00893,1386141.0,1386141.0,1.0,1386141.0
00891,00891,992943.0,992943.0,1.0,992943.0
00890B,00890B,10143.0,10143.0,1.0,10143.0
1721,1721,233.0,233.0,1.0,233.0
00887,00887,23377.0,23377.0,1.0,23377.0
00886,00886,18609.0,18609.0,1.0,18609.0
00885,00885,3632600.0,3632600.0,1.0,3632600.0
00884B,00884B,21658.0,21658.0,1.0,21658.0
00883B,00883B,21177.0,21177.0,1.0,21177.0
00882,00882,776810.0,776810.0,1.0,776810.0
00892,00892,674854.0,674854.0,1.0,674854.0
1418,1418,1641.0,1641.0,1.0,1641.0
00904,00904,149502.0,149502.0,1.0,149502.0
00906,00906,1408.0,1408.0,1.0,1408.0
1210,1210,117.0,117.0,1.0,117.0
1203,1203,727.0,727.0,1.0,727.0
1110,1110,10079.0,10079.0,1.0,10079.0
1109,1109,641.0,641.0,1.0,641.0
1108,1108,22216.0,22216.0,1.0,22216.0
1103,1103,979.0,979.0,1.0,979.0
1102,1102,877.0,877.0,1.0,877.0
00920,00920,273698.0,273698.0,1.0,273698.0
00919,00919,758906.0,758906.0,1.0,758906.0
00905,00905,60083.0,60083.0,1.0,60083.0
00918,00918,357702.0,357702.0,1.0,357702.0
00916,00916,187105.0,187105.0,1.0,187105.0
00915,00915,102679.0,102679.0,1.0,102679.0
00913,00913,20234.0,20234.0,1.0,20234.0
00912,00912,85568.0,85568.0,1.0,85568.0
00911,00911,17239.0,17239.0,1.0,17239.0
00910,00910,9559.0,9559.0,1.0,9559.0
00909,00909,119581.0,119581.0,1.0,119581.0
00908,00908,85888.0,85888.0,1.0,85888.0
00907,00907,100228.0,100228.0,1.0,100228.0
00917,00917,127970.0,127970.0,1.0,127970.0
1419,1419,334.0,334.0,1.0,334.0
1423,1423,32367.0,32367.0,1.0,32367.0
1434,1434,863.0,863.0,1.0,863.0
1591,1591,61512.0,61512.0,1.0,61512.0
1590,1590,31458.0,31458.0,1.0,31458.0
1589,1589,16857.0,16857.0,1.0,16857.0
1587,1587,8311.0,8311.0,1.0,8311.0
1586,1586,16380.0,16380.0,1.0,16380.0
1584,1584,927576.0,927576.0,1.0,927576.0
1583,1583,603.0,603.0,1.0,603.0
1582,1582,7340.0,7340.0,1.0,7340.0
1580,1580,6787.0,6787.0,1.0,6787.0
1593,1593,3225.0,3225.0,1.0,3225.0
1570,1570,4584.0,4584.0,1.0,4584.0
1568,1568,63396.0,63396.0,1.0,63396.0
1565,1565,19592.0,19592.0,1.0,19592.0
1560,1560,587023.0,587023.0,1.0,587023.0
1558,1558,3560.0,3560.0,1.0,3560.0
1541,1541,3281.0,3281.0,1.0,3281.0
1540,1540,15152.0,15152.0,1.0,15152.0
1539,1539,191078.0,191078.0,1.0,191078.0
1537,1537,5395.0,5395.0,1.0,5395.0
1536,1536,184038.0,184038.0,1.0,184038.0
1569,1569,36216.0,36216.0,1.0,36216.0
1535,1535,4326.0,4326.0,1.0,4326.0
1595,1595,3957.0,3957.0,1.0,3957.0
1598,1598,8553.0,8553.0,1.0,8553.0
1720,1720,30902.0,30902.0,1.0,30902.0
1718,1718,504.0,504.0,1.0,504.0
1717,1717,739.0,739.0,1.0,739.0
1714,1714,120491.0,120491.0,1.0,120491.0
1713,1713,5223.0,5223.0,1.0,5223.0
1712,1712,15.0,15.0,1.0,15.0
1711,1711,537.0,537.0,1.0,537.0
1710,1710,735.0,735.0,1.0,735.0
1709,1709,81659.0,81659.0,1.0,81659.0
1597,1597,9330.0,9330.0,1.0,9330.0
1707,1707,493.0,493.0,1.0,493.0
1701,1701,32130.0,32130.0,1.0,32130.0
1626,1626,7306.0,7306.0,1.0,7306.0
1618,1618,147300.0,147300.0,1.0,147300.0
1617,1617,1937.0,1937.0,1.0,1937.0
1615,1615,3160.0,3160.0,1.0,3160.0
1614,1614,6194.0,6194.0,1.0,6194.0
1604,1604,875.0,875.0,1.0,875.0
1603,1603,26941.0,26941.0,1.0,26941.0
1599,1599,7233.0,7233.0,1.0,7233.0
1702,1702,22229.0,22229.0,1.0,22229.0
00881,00881,963336.0,963336.0,1.0,963336.0
1533,1533,27466.0,27466.0,1.0,27466.0
1531,1531,4986.0,4986.0,1.0,4986.0
1463,1463,5987.0,5987.0,1.0,5987.0
1459,1459,6623.0,6623.0,1.0,6623.0
1457,1457,13967.0,13967.0,1.0,13967.0
1456,1456,5402.0,5402.0,1.0,5402.0
1455,1455,930.0,930.0,1.0,930.0
1454,1454,7591.0,7591.0,1.0,7591.0
1453,1453,84859.0,84859.0,1.0,84859.0
1452,1452,6681.0,6681.0,1.0,6681.0
1451,1451,42639.0,42639.0,1.0,42639.0
1464,1464,15087.0,15087.0,1.0,15087.0
1447,1447,29177.0,29177.0,1.0,29177.0
1445,1445,3205.0,3205.0,1.0,3205.0
1444,1444,83219.0,88219.0,1.0,83219.0
1443,1443,8525.0,8525.0,1.0,8525.0
1442,1442,141121.0,141121.0,1.0,141121.0
1440,1440,273.0,273.0,1.0,273.0
1439,1439,20716.0,20716.0,1.0,20716.0
1438,1438,2926.0,2926.0,1.0,2926.0
1437,1437,622.0,622.0,1.0,622.0
1436,1436,3895.0,3895.0,1.0,3895.0
1446,1446,7558.0,7558.0,1.0,7558.0
1532,1532,295.0,295.0,1.0,295.0
1465,1465,7004.0,7004.0,1.0,7004.0
1467,1467,182721.0,183721.0,1.0,182721.0
1530,1530,2511.0,2511.0,1.0,2511.0
1529,1529,131808.0,131808.0,1.0,131808.0
1528,1528,18077.0,18077.0,1.0,18077.0
1527,1527,14609.0,14609.0,1.0,14609.0
1526,1526,54224.0,54224.0,1.0,54224.0
1525,1525,827.0,827.0,1.0,827.0
1524,1524,517590.0,517590.0,1.0,517590.0
1522,1522,329962.0,333962.0,1.0,329962.0
1521,1521,875.0,875.0,1.0,875.0
1466,1466,5344.0,5344.0,1.0,5344.0
1517,1517,179334.0,179334.0,1.0,179334.0
1515,1515,51389.0,51389.0,1.0,51389.0
1514,1514,186738.0,186738.0,1.0,186738.0
1513,1513,393648.0,398648.0,1.0,393648.0
1503,1503,806.0,806.0,1.0,806.0
1476,1476,41038.0,41038.0,1.0,41038.0
1475,1475,19362.0,19362.0,1.0,19362.0
1474,1474,5940.0,5940.0,1.0,5940.0
1473,1473,17123.0,17123.0,1.0,17123.0
1470,1470,3411.0,3411.0,1.0,3411.0
1516,1516,9972.0,9972.0,1.0,9972.0
00878,00878,250.0,250.0,1.0,250.0
00888,00888,155806.0,155806.0,1.0,155806.0
00876,00876,37579.0,37579.0,1.0,37579.0
00696B,00696B,20578.0,20578.0,1.0,20578.0
00695B,00695B,13765.0,13765.0,1.0,13765.0
00694B,00694B,17668.0,17668.0,1.0,17668.0
00693U,00693U,16906.0,16906.0,1.0,16906.0
00692,00692,275438.0,275438.0,1.0,275438.0
00690,00690,96094.0,96094.0,1.0,96094.0
00689R,00689R,29533.0,29533.0,1.0,29533.0
00688L,00688L,105861.0,105861.0,1.0,105861.0
00687B,00687B,49801.0,49801.0,1.0,49801.0
00686R,00686R,63969.0,63969.0,1.0,63969.0
00685L,00685L,18962.0,18962.0,1.0,18962.0
00684R,00684R,6304.0,6304.0,1.0,6304.0
00683L,00683L,206701.0,206701.0,1.0,206701.0
00682U,00682U,30618.0,30618.0,1.0,30618.0
00681R,00681R,49891.0,49891.0,1.0,49891.0
00680L,00680L,309709.0,309709.0,1.0,309709.0
00679B,00679B,540.0,540.0,1.0,540.0
00678,00678,39976.0,39976.0,1.0,39976.0
00676R,00676R,1340516.0,1340516.0,1.0,1340516.0
00675L,00675L,220994.0,220994.0,1.0,220994.0
00674R,00674R,218005.0,218005.0,1.0,218005.0
00697B,00697B,25047.0,25047.0,1.0,25047.0
00673R,00673R,1161027.0,1161027.0,1.0,1161027.0
00700,00700,44440.0,44440.0,1.0,44440.0
00702,00702,11932.0,11932.0,1.0,11932.0
00726B,00726B,13867.0,13867.0,1.0,13867.0
00725B,00725B,855.0,855.0,1.0,855.0
00877,00877,160322.0,160322.0,1.0,160322.0
00723B,00723B,11973.0,11973.0,1.0,11973.0
00722B,00722B,14835.0,14835.0,1.0,14835.0
00721B,00721B,16244.0,16244.0,1.0,16244.0
00720B,00720B,270655.0,270655.0,1.0,270655.0
00719B,00719B,61758.0,61758.0,1.0,61758.0
00718B,00718B,5390.0,5390.0,1.0,5390.0
00717,00717,59220.0,59220.0,1.0,59220.0
00715L,00715L,1769981.0,2090981.0,1.0,1769981.0
00714,00714,34882.0,34882.0,1.0,34882.0
00713,00713,693.0,693.0,1.0,693.0
00712,00712,486.0,486.0,1.0,486.0
00711B,00711B,12075.0,12075.0,1.0,12075.0
00710B,00710B,36250.0,36250.0,1.0,36250.0
00709,00709,10060.0,10060.0,1.0,10060.0
00708L,00708L,128777.0,128777.0,1.0,128777.0
00707R,00707R,3000.0,3000.0,1.0,3000.0
00706L,00706L,210603.0,210603.0,1.0,210603.0
00703,00703,12669.0,12669.0,1.0,12669.0
00701,00701,148895.0,148895.0,1.0,148895.0
00727B,00727B,16610.0,16610.0,1.0,16610.0
00671R,00671R,1830213.0,1830213.0,1.0,1830213.0
00669R,00669R,1898304.0,1898304.0,1.0,1898304.0
00638R,00638R,192989.0,192989.0,1.0,192989.0
00637L,00637L,9876569.0,9476569.0,1.0,9876569.0
00636,00636,80967.0,80967.0,1.0,80967.0
00635U,00635U,29942.0,29942.0,1.0,29942.0
00634R,00634R,142205.0,142205.0,1.0,142205.0
00633L,00633L,1261059.0,1261059.0,1.0,1261059.0
00631L,00631L,1066554.0,1066554.0,1.0,1066554.0
006208,006208,265569.0,265569.0,1.0,265569.0
006207,006207,24097.0,24097.0,1.0,24097.0
006206,006206,7835.0,7835.0,1.0,7835.0
006205,006205,62871.0,62871.0,1.0,62871.0
006204,006204,4564.0,4564.0,1.0,4564.0
006203,006203,797.0,797.0,1.0,797.0
006201,006201,13397.0,13397.0,1.0,13397.0
0061,0061,26318.0,26318.0,1.0,26318.0
0057,0057,531.0,531.0,1.0,531.0
0056,0056,286.0,286.0,1.0,286.0
0055,0055,27508.0,27508.0,1.0,27508.0
0053,0053,953.0,953.0,1.0,953.0
0052,0052,37676.0,37676.0,1.0,37676.0
0051,0051,4568.0,4568.0,1.0,4568.0
00639,00639,38145.0,38145.0,1.0,38145.0
00670L,00670L,496798.0,496798.0,1.0,496798.0
00640L,00640L,21868.0,21868.0,1.0,21868.0
00642U,00642U,371261.0,371261.0,1.0,371261.0
00668,00668,12476.0,12476.0,1.0,12476.0
00666R,00666R,81500.0,81500.0,1.0,81500.0
00665L,00665L,2134892.0,2134892.0,1.0,2134892.0
00664R,00664R,1165802.0,1165802.0,1.0,1165802.0
00663L,00663L,46143.0,46143.0,1.0,46143.0
00662,00662,66066.0,66066.0,1.0,66066.0
00661,00661,1119.0,1119.0,1.0,1119.0
00660,00660,1290.0,1290.0,1.0,1290.0
00657,00657,1371.0,1371.0,1.0,1371.0
00656R,00656R,119763.0,119763.0,1.0,119763.0
00655L,00655L,328287.0,242287.0,1.0,328287.0
00654R,00654R,69355.0,69355.0,1.0,69355.0
00653L,00653L,25597.0,25597.0,1.0,25597.0
00652,00652,21851.0,21851.0,1.0,21851.0
00651R,00651R,183444.0,183444.0,1.0,183444.0
00650L,00650L,1601570.0,1601570.0,1.0,1601570.0
00648R,00648R,367488.0,367488.0,1.0,367488.0
00647L,00647L,38693.0,38693.0,1.0,38693.0
00646,00646,85219.0,85219.0,1.0,85219.0
00645,00645,7794.0,7794.0,1.0,7794.0
00643,00643,38831.0,38831.0,1.0,38831.0
00641R,00641R,48199.0,48199.0,1.0,48199.0
00728,00728,35068.0,35068.0,1.0,35068.0
00724B,00724B,18783.0,18783.0,1.0,18783.0
00731,00731,118373.0,118373.0,1.0,118373.0
00840B,00840B,10113.0,10113.0,1.0,10113.0
00836B,00836B,11612.0,11612.0,1.0,11612.0
00834B,00834B,11513.0,11513.0,1.0,11513.0
00831B,00831B,200.0,200.0,1.0,200.0
00830,00830,467658.0,467658.0,1.0,467658.0
00799B,00799B,10776.0,10776.0,1.0,10776.0
00795B,00795B,78567.0,78567.0,1.0,78567.0
00794B,00794B,10873.0,10873.0,1.0,10873.0
00793B,00793B,11893.0,11893.0,1.0,11893.0
00841B,00841B,10743.0,10743.0,1.0,10743.0
00792B,00792B,15533.0,15533.0,1.0,15533.0
00790B,00790B,10000.0,10000.0,1.0,10000.0
00789B,00789B,10313.0,10313.0,1.0,10313.0
00788B,00788B,12520.0,12520.0,1.0,12520.0
00787B,00787B,12816.0,12816.0,1.0,12816.0
00786B,00786B,12507.0,12507.0,1.0,12507.0
00785B,00785B,11205.0,11205.0,1.0,11205.0
00784B,00784B,10226.0,10226.0,1.0,10226.0
00730,00730,22858.0,22858.0,1.0,22858.0
00782B,00782B,13217.0,13217.0,1.0,13217.0
00791B,00791B,10206.0,10206.0,1.0,10206.0
00842B,00842B,11366.0,11366.0,1.0,11366.0
00844B,00844B,253.0,253.0,1.0,253.0
00845B,00845B,12266.0,12266.0,1.0,12266.0
00875,00875,33272.0,33272.0,1.0,33272.0
00870B,00870B,11779.0,11779.0,1.0,11779.0
00867B,00867B,310.0,310.0,1.0,310.0
00865B,00865B,12202.0,12202.0,1.0,12202.0
00864B,00864B,51284.0,51284.0,1.0,51284.0
00863B,00863B,12407.0,12407.0,1.0,12407.0
00862B,00862B,69723.0,69723.0,1.0,69723.0
00861,00861,26177.0,26177.0,1.0,26177.0
00860B,00860B,10593.0,10593.0,1.0,10593.0
00859B,00859B,30320.0,30320.0,1.0,30320.0
00858,00858,17133.0,17133.0,1.0,17133.0
00857B,00857B,12203.0,12203.0,1.0,12203.0
00856B,00856B,10795.0,10795.0,1.0,10795.0
00853B,00853B,42079.0,42079.0,1.0,42079.0
00852L,00852L,145115.0,145115.0,1.0,145115.0
00851,00851,3241.0,3241.0,1.0,3241.0
00850,00850,160685.0,160685.0,1.0,160685.0
00849B,00849B,11253.0,11253.0,1.0,11253.0
00848B,00848B,13190.0,13190.0,1.0,13190.0
00847B,00847B,21644.0,21644.0,1.0,21644.0
00846B,00846B,10206.0,10206.0,1.0,10206.0
00781B,00781B,12260.0,12260.0,1.0,12260.0
00780B,00780B,11243.0,11243.0,1.0,11243.0
00783,00783,10028.0,10028.0,1.0,10028.0
00778B,00778B,10250.0,10250.0,1.0,10250.0
00756B,00756B,14733.0,14733.0,1.0,14733.0
00779B,00779B,10130.0,10130.0,1.0,10130.0
00754B,00754B,12454.0,12454.0,1.0,12454.0
00753L,00753L,1622837.0,1622837.0,1.0,1622837.0
00752,00752,279034.0,279034.0,1.0,279034.0
00751B,00751B,125676.0,125676.0,1.0,125676.0
00750B,00750B,10103.0,10103.0,1.0,10103.0
00749B,00749B,10801.0,10801.0,1.0,10801.0
00748B,00748B,10260.0,10260.0,1.0,10260.0
00746B,00746B,14162.0,14162.0,1.0,14162.0
00744B,00744B,11975.0,11975.0,1.0,11975.0
00741B,00741B,11682.0,11682.0,1.0,11682.0
00740B,00740B,14359.0,14359.0,1.0,14359.0
00739,00739,5493.0,5493.0,1.0,5493.0
00738U,00738U,77817.0,77817.0,1.0,77817.0
00737,00737,17978.0,17978.0,1.0,17978.0
00736,00736,13690.0,13690.0,1.0,13690.0
00735,00735,11624.0,11624.0,1.0,11624.0
00734B,00734B,103787.0,103787.0,1.0,103787.0
00733,00733,38346.0,38346.0,1.0,38346.0
00732,00732,11203.0,11203.0,1.0,11203.0
00757,00757,71201.0,71201.0,1.0,71201.0
00758B,00758B,10943.0,10943.0,1.0,10943.0
00755B,00755B,19716.0,19716.0,1.0,19716.0
00760B,00760B,10711.0,10711.0,1.0,10711.0
00777B,00777B,11070.0,11070.0,1.0,11070.0
00775B,00775B,5650.0,5650.0,1.0,5650.0
00774B,00774B,331.0,331.0,1.0,331.0
00773B,00773B,146700.0,146700.0,1.0,146700.0
00772B,00772B,306272.0,331272.0,1.0,306272.0
00771,00771,13447.0,13447.0,1.0,13447.0
00770,00770,12599.0,12599.0,1.0,12599.0
00768B,00768B,10524.0,10524.0,1.0,10524.0
00759B,00759B,11006.0,11006.0,1.0,11006.0
00765B,00765B,10877.0,10877.0,1.0,10877.0
1722,1722,34462.0,34462.0,1.0,34462.0
00761B,00761B,17707.0,17707.0,1.0,17707.0
00762,00762,19431.0,19431.0,1.0,19431.0
00764B,00764B,14369.0,14369.0,1.0,14369.0
00763U,00763U,10934.0,10934.0,1.0,10934.0
1708,1708,424112.0,424112.0,1.0015743866189732,423445.3333333333
1608,1608,186204.0,186204.0,1.0035931672331893,185537.33333333334
1477,1477,172863.0,174863.0,1.0038715497232809,172196.33333333334
1504,1504,293586.0,293586.0,1.0068590398715989,291586.0
1612,1612,92711.0,93711.0,1.0072428865800176,92044.33333333333
1305,1305,80230.0,98230.0,1.0083790690854246,79563.33333333333
1519,1519,108847.0,109847.0,1.0092723951523919,107847.0
1609,1609,143113.0,151113.0,1.0094042634228229,141779.66666666666
1101,1101,272164.0,272164.0,1.0123993790390977,268830.6666666667
1217,1217,53701.0,53701.0,1.0125704732154641,53034.333333333336
1308,1308,105203.0,105203.0,1.012836599713102,103869.66666666667
1611,1611,51655.0,51655.0,1.0130748864119243,50988.333333333336
00632R,00632R,14786984.0,14287984.0,1.0230150382750693,14454317.333333334
1313,1313,47626.0,50626.0,1.0288022580970348,46292.666666666664
1310,1310,16129.0,19129.0,1.0431155280574298,15462.333333333334
1215,1215,13383.0,13383.0,1.0524260137880417,12716.333333333334
1104,1104,7816.0,7816.0,1.093248787765759,7149.333333333333
1201,1201,3885.0,3885.0,1.2071465561885033,3218.3333333333335
